code,cname,pe,pb,mv
688665,四方光电,29.4,2.55,2431429000.0
688685,迈信林,68.12,5.49,3920702942.0
002809,红墙股份,24.6,0.86,1370689435.0
600520,文一科技,167.33,7.39,2688557100.0
601328,交通银行,5.35,0.52,484935604992.0
600025,华能水电,22.64,3.43,188820000000.0
002689,远大智能,-177.23,2.37,2743907207.0
603005,晶方科技,50.96,2.7,11217353343.0
300910,瑞丰新材,16.5,3.57,10524862955.0
002683,广东宏大,18.45,2.38,15238045052.0
002316,ST亚联,116.79,16.18,1053561600.0
301209,联合化学,29.18,2.3,1620000000.0
002098,浔兴股份,9.82,1.94,2416500000.0
002648,卫星化学,12.17,1.91,50058074953.0
300631,久吾高科,92.81,1.85,2199513828.0
000985,大庆华科,109.4,2.97,1755318830.0
688596,正帆科技,33.39,2.25,7008945031.0
600927,永安期货,28.91,1.41,17786888894.0
301236,软通动力,-100.86,3.04,31132588253.0
600863,内蒙华电,7.55,1.66,26694971147.0
600875,东方电气,11.45,1.04,38750518251.0
603990,麦迪科技,-16.71,2.5,2551335149.0
000819,岳阳兴长,53.35,2.67,5660068817.0
002543,万和电气,8.83,1.37,6268548000.0
301160,翔楼新材,15.47,1.88,2899692959.0
688721,龙图光罩,34.58,2.94,3412260000.0
601898,中煤能源,8.68,1.15,169976064788.0
600104,上汽集团,10.16,0.47,134620732545.0
600462,*ST九有,41.35,89.8,907107600.0
600522,中天科技,15.54,1.34,45358100875.0
600331,宏达股份,103.09,31.76,12029440000.0
002111,威海广泰,22.09,1.56,4744543613.0
601288,农业银行,5.76,0.63,1564424161412.0
603393,新天然气,10.51,1.68,12717639810.0
688100,威胜信息,31.24,5.65,16982805945.0
300250,初灵信息,-65.35,4.53,2590216496.0
601818,光大银行,3.69,0.39,180801786247.0
601717,郑煤机,4.44,0.91,19178868328.0
600845,宝信软件,31.84,8.08,84743954195.0
603260,合盛硅业,30.05,1.78,58779329107.0
836221,易实精密,16.58,2.73,1055964000.0
605138,盛泰集团,50.6,1.05,2600031667.0
002643,万润股份,16.85,1.04,7254828009.0
002358,森源电气,33.67,0.92,2938032047.0
600521,华海药业,15.52,2.71,23233406391.0
002586,*ST围海,-17.91,0.6,1830757942.0
300131,英唐智控,77.56,3.22,5551473775.0
300779,惠城环保,145.39,7.81,10165107722.0
000893,亚钾国际,25.23,1.19,13626246913.0
002884,凌霄泵业,14.76,3.06,6416824211.0
000559,万向钱潮,16.54,1.83,16188577586.0
002911,佛燃能源,21.87,3.1,12629618973.0
603078,江化微,38.94,2.69,4430971980.0
601838,成都银行,4.06,0.74,50115297573.0
600938,中国海油,7.85,1.74,1252477482899.0
600658,电子城,-38.21,0.51,3702516499.0
300758,七彩化学,30.69,2.47,4125352135.0
688469,芯联集成-U,-25.47,2.0,23982434184.0
601766,中国中车,23.3,1.22,195726253080.0
600926,杭州银行,3.54,0.71,70866926125.0
002123,梦网科技,295.96,3.34,5466741562.0
603030,全筑股份,-135.66,2.2,2251956319.0
002895,川恒股份,13.13,1.73,9284178092.0
839790,联迪信息,873.4,1.71,544082768.0
300705,九典制药,16.29,4.32,9258605556.0
688120,华海清科,34.62,5.09,29955167960.0
601069,西部黄金,72.28,2.15,9571417377.0
002712,思美传媒,822.08,1.34,1904966693.0
833171,国航远洋,14.45,1.38,1949480160.0
601816,京沪高铁,20.47,1.33,260264368438.0
601168,西部矿业,10.57,2.18,34267540000.0
600742,一汽富维,10.28,0.65,5402030788.0
688138,清溢光电,24.76,3.14,4402200000.0
002008,大族激光,7.88,1.23,19297219620.0
688273,麦澜德,13.96,1.51,2027000000.0
600428,中远海特,8.17,1.01,11913911779.0
600529,山东药玻,17.04,2.09,16192184357.0
